weights_name,genre,genre_at_10
w1,blues,0.2580
w1,classical,0.6520
w1,country,0.2130
w1,disco,0.3610
w1,hiphop,0.2870
w1,jazz,0.2465
w1,metal,0.3930
w1,pop,0.4660
w1,reggae,0.2370
w1,rock,0.1660
w1,AVERAGE,0.3280
w2,blues,0.2290
w2,classical,0.6370
w2,country,0.2180
w2,disco,0.3620
w2,hiphop,0.2940
w2,jazz,0.2384
w2,metal,0.3340
w2,pop,0.4190
w2,reggae,0.2330
w2,rock,0.1570
w2,AVERAGE,0.3122
w3,blues,0.2330
w3,classical,0.6470
w3,country,0.2140
w3,disco,0.3630
w3,hiphop,0.2810
w3,jazz,0.2303
w3,metal,0.3550
w3,pop,0.4210
w3,reggae,0.2410
w3,rock,0.1570
w3,AVERAGE,0.3143
w4,blues,0.2340
w4,classical,0.6500
w4,country,0.2170
w4,disco,0.3600
w4,hiphop,0.2820
w4,jazz,0.2263
w4,metal,0.3700
w4,pop,0.4390
w4,reggae,0.2450
w4,rock,0.1610
w4,AVERAGE,0.3185
